PartitionKey,RowKey,source,title,description,instructor,level,role,product,duration,rating_count,rating_average,url
company-moodle,5b293283-81e6-4f89-a0ab-7053988d6f6a,Company Moodle,Onboarding - Time Tracking ,Learn how to track billable and non-billable hours by assigning time to projects and other relevant time codes,Mike Montoya,beginner,all,NA,1,540,4.8,https://www.example.com/course1
company-moodle,30e3c6e5-9415-4d85-8229-c2133203c535,Company Moodle,Onboarding - Technology Policies ,"Learn the policies related to the distribution and use of computers, phones, software, and other technology",Mike Montoya,beginner,all,NA,1,550,4.9,https://www.example.com/course2
company-moodle,9700e1dc-b293-4306-9e1b-0d345863db54,Company Moodle,Git Workflow ,"This course will teach you the specific ways our company uses Git. You will learn details for comments, branching, pull requests, and other procsses",Claudia Blackman,beginner,developer,git,3,125,4.5,https://www.example.com/course3
company-moodle,b51ede14-025f-49ad-9e9e-44ad284eedda,Company Moodle,DevOps for Dev,"For developers, this course will teach you how to hook your dev work into our existing CI/CD pipelines.",Claudia Blackman,intermediate,developer,jenkins,3,101,3.8,https://www.example.com/course4
company-moodle,578a3319-aa7c-4d2f-b6a4-39e9638b0a85,Company Moodle,DevOps for Ops,"For administrators, this course will teach you how our CI/CD pipelines work from an operations perspective",Claudia Blackman,intermediate,admin,jenkins,5,56,4.9,https://www.example.com/course5
company-moodle,3cbb3800-2554-4121-bb3a-f365deb0c3b6,Company Moodle,Maps,Learn our best practices for various tools such as Leaflet,Robert Gillis,intermediate,developer,leaflet,2,28,3.9,https://www.example.com/course6
company-moodle,278d299e-ef0e-47fb-8e98-5a31a073519c,Company Moodle,Security for database code,"For developers, learn our best practices for securely connecting to databases",Eileen Diaz,advanced,developer,SQL,2,115,4.8,https://www.example.com/course7
company-moodle,85ee725b-4ae0-4719-8785-ddf99e19faf1,Company Moodle,Security for database admins,"For administrators, learn our best practices for securing all databases",Eileen Diaz,advanced,admin,SQL,3,45,4.3,https://www.example.com/course8
company-moodle,d3f0c955-ac6e-4ced-b91b-ffcef3e8cede,Company Moodle,Code security,"For developers, learn our best practices for writing secure code for web, server, and desktop development",Eileen Diaz,intermediate,developer,NA,3,132,4.4,https://www.example.com/course9
company-moodle,17b1eedc-0e96-4e5b-8199-83a484388efe,Company Moodle,O365,"Learn our internal best practices for using the O365 suite including email signatures, file storage and other issues",Gerald Dominguez,beginner,all,O365,2,510,4.6,https://www.example.com/course10
company-moodle,c014cf36-2a83-4ded-bfe5-d62f405ba970,Company Moodle,Remote work,This course will teach you best practices for communicating with your team while working remotely,Gerald Dominguez,beginner,all,NA,1,325,4.7,https://www.example.com/course11
company-moodle,6b5d3f55-eb02-499d-9775-2e0e25659e07,Company Moodle,Ethics in AI,Learn our company's Principles for the Responsible Use of AI,Eileen Diaz,intermediate,architect,NA,1,24,4.3,https://www.example.com/course12
company-moodle,c6b7fbd0-7390-4370-ab77-45027596b520,Company Moodle,Workplace Health,Understand ways you can be more healthy in the work environment including what ergonomic equipment is available to you,Mike Montoya,beginner,all,NA,1,525,4.6,https://www.example.com/course13
company-moodle,9df844fd-eefe-4880-8341-936732174bb5,Company Moodle,Encryption and security,Learn our policies for utilizing encryption including key management for projects,Eileen Diaz,advanced,architect,NA,3,95,4.2,https://www.example.com/course14
ms-learn,273a7231-bbc2-4bb4-b6e1-fd46081f166d,MS Learn,Automate Node.js deployments with Azure Pipelines,"Implement CI/CD pipeline for Node.js applications. Automate deployment of Vue, React, Angular or webpack apps with Azure Pipelines.",,beginner,devops-engineer,azure,44,41,4.9,https://docs.microsoft.com/en-us/learn/modules/deploy-nodejs/?WT.mc_id=api_CatalogApi
ms-learn,50359a5f-cb5d-4916-b62a-bb80f6ce6339,MS Learn,Build a Web App with Refreshable Machine Learning Models,"Build a web app powered by machine learning models trained using Custom Vision AI service, and learn how to refresh them with GitHub Actions.",,intermediate,developer,azure,82,32,4.31,https://docs.microsoft.com/en-us/learn/modules/create-web-app-with-refreshable-models/?WT.mc_id=api_CatalogApi
ms-learn,da546e02-79d1-4ea6-ac52-f694037e97a6,MS Learn,Microsoft Azure Artificial Intelligence (AI) strategy and solutions,"This module provides an overview of Azure AI and demonstrates how Microsoft tools, services, and infrastructure can help make AI real for your organization, whether you want to unlock insights from your latent data with knowledge mining, develop your own AI models with machine learning, or build immersive apps using AI.",,beginner,business-user,azure,59,4523,4.75,https://docs.microsoft.com/en-us/learn/modules/azure-artificial-intelligence/?WT.mc_id=api_CatalogApi
ms-learn,79145fde-a345-4947-b76e-d9247cb8c450,MS Learn,Automate the deployment of ARM templates by using GitHub Actions,"Learn how to deploy Azure Resource Manager (ARM) templates by using Azure PowerShell, the Azure CLI, and GitHub Actions.",,intermediate,administrator,azure,66,27,4.7,https://docs.microsoft.com/en-us/learn/modules/deploy-templates-command-line-github-actions/?WT.mc_id=api_CatalogApi
ms-learn,d6417f73-e2e0-4eba-8996-bcda8666a60b,MS Learn,Implement CI/CD with Azure DevOps,Implement CI/CD with Azure DevOps,,intermediate,data-engineer,azure-databricks,28,141,4.74,https://docs.microsoft.com/en-us/learn/modules/implement-ci-cd-azure-devops/?WT.mc_id=api_CatalogApi
